Company,Article,Total_Qty_Sold
BIFA,BRINO JUNIOR,30048.0
BIFA,DUNAROLL ROUGE,12750.0
BIFA,DAILY JOY 12.5CL,11328.0
BIFA,CELEBRITY FONDANT,9528.0
BIFA,WAFER CHOCO,7110.0
BIFA,BESTO NOIR PM,6528.0
BIFA,TORTO,5040.0
BIFA,DOLCE WAFER COCOA,4770.0
BIFA,"DAILY JOY F BOIS 12,5CL",4704.0
BIFA,"DAILY JOY FRAISE 12,5CL",4704.0
BIFA,DAILY COCKTAIL 20CL,4440.0
BIFA,BRINO BANANE,4200.0
BIFA,DAILY JOY CHOCOLATE 125 ML,2736.0
BIFA,WAFERS GM CC,2240.0
BIFA,CHAMIA  90G,2208.0
BIFA,AVANTAGE,2070.0
BIFA,BRINO NOIR VANILLE,2016.0
BIFA,WAFERS GM VANILLE,1940.0
BIFA,BESTO BLANCO X4,1824.0
BIFA,DAILY ORG 20CL,1590.0
BIFA,BENITO CM6,1368.0
BIFA,DUNAROLL MAXI CREME CACAO,1220.0
BIFA,BONITO CHOCOLAT,1152.0
BIFA,BESTO NOIRCO 7 PCS,1128.0
BIFA,DAILY ORG PECHE ABR 20CL,1050.0
BIFA,BREAK ROLL,1044.0
BIFA,FAMELIO,1032.0
BIFA,MARSHMALLOW NOIX DE COCO X4,1032.0
BIFA,BISCUIT SPECULOOS,940.0
BIFA,BESBOUSSA,928.0
BIFA,MAX CREME,918.0
BIFA,CELEBRITY BEST TIME,912.0
BIFA,MINI CELEBRITY FONDANT,900.0
BIFA,MAX CREME NOIR,882.0
BIFA,DOLCE WAFER COCOA PLUS,795.0
BIFA,BONITO PEANUTS,792.0
BIFA,RIGOLO,684.0
BIFA,CULINA PATE A GLACER PROFESSIONNEL,588.0
BIFA,BIG FAMILY CC 8,536.0
BIFA,BESTO CACAO,520.0
BIFA,CELEBRITY TWIN,397.0
BIFA,BRAVA BISCUIT SANDWICH,312.0
BIFA,BRINO CM6 CC,312.0
BIFA,CHAMIA 25G,271.0
BIFA,WAFERS GM CITRON,240.0
BIFA,CELEBRITY MINI BAR,197.0
BIFA,DUNAROLL MAXI CREME BLANCHE,150.0
BIFA,BALBON FRUITE,137.0
BIFA,CELEBRITY BROWNIE,129.0
BIFA,BISCUIT SPECULOOS CRUMBS,120.0
BIFA,BRAVA MINI CHOCOLAT CACAHUETE,114.0
BIFA,CELEBRITY BEST TIME 9PCS,112.0
BIFA,SUCETTE KRISTOP FRUITE,112.0
BIFA,MUFFIN'S BREAK FRAISE,108.0
BIFA,BALBON REGLISE,99.0
BIFA,BISCUIT RS DUO,99.0
BIFA,STORY CHOCOLAT KUNAFA PISTACHE,91.0
BIFA,DADEY GM BLANC,84.0
BIFA,DOLCE TABLETTE CHOCOLAT,82.0
BIFA,BRAVA CHOCOLAT CACAHUETE,76.0
BIFA,ROYAL HALVA CHOCOLAT CHAMIA AMANDES,74.0
BIFA,BESTO NOIRCO 4PCS,72.0
BIFA,PETIT PALMIERS CHOCOLAT,72.0
BIFA,STORY BARRE KUNAFA PISTACHE,71.0
BIFA,CHAMIA 720 G,64.0
BIFA,DADEY GM,60.0
BIFA,KRISPINO MAX,47.0
BIFA,TALENT AUX CACAHOUETES,42.0
BIFA,CHAMIA PAPILLON 350g ,41.0
BIFA,CELEBRITY BAR CAKE,33.0
BIFA,PATE A TARTINER AUX NOISETTES 750g,30.0
BIFA,MINI TALENT CACAHOUETE,29.0
BIFA,ROND GAUF AU CACAHUETE,25.0
BIFA,COOKIES FOUREE,20.0
BIFA,CELEBRITY BARRE,19.0
BIFA,MONTANA,18.0
BIFA,MINI TALENT NOISETTES ET RAISINS SECS 70G,16.0
BIFA,STORY CHOCOLAT SPECULOOS,15.0
BIFA,KRISPINO WAFER,12.0
BIFA,STORY CHOCOLAT NOIR 70% CACAO,9.0
BIFA,FLORIDA CHLOROPHYLLE,5.0
BIFA,CELEBRITY GOUTER CHOCOLAT ET BISCUIT,1.0
BIFA,LE MOSAIQUE X4,1.0
DELISKY,CHOCOLAT CHOCOTY ,362.0
DELISKY,CHAMIA KHAIMA 80G(Matty Nova),358.0
DELISKY,CHOCOMORE SWISSLY CHOCOLAT,128.0
DELISKY,CHOCOMORE SWISSLY FRAISE,118.0
DELISKY,IDOL FINGER 3,117.0
DELISKY,CHAMIA KHAIMA 250G PISTACHE,98.0
DELISKY,CHAMIA KHAIMA 150G,80.0
DELISKY,COMPOTE POMME FRAISE BANANE SANS SUCRE,74.0
DELISKY,COMPOTE POMME FRAISE BANANE,73.0
DELISKY,IDOL FINGER 6 ,73.0
DELISKY,CHAMIA KHAIMA 140G,70.0
DELISKY,SAGA GAUFRETTE,70.0
DELISKY,GAUFRETTE PINOU,68.0
DELISKY,FLIPI SANDWICH 2Pcs  x 48,66.0
DELISKY,DELISTARE 03PCS 48P,65.0
DELISKY,CHAMIA KHAIMA 100G PISTACHE/AMANDE,63.0
DELISKY,SANDWICH CHERCHEL,60.0
DELISKY,FLIPI CHOCO BISC,48.0
DELISKY,CHAMIA KHAIMA 280G,46.0
DELISKY,FLIPI SIGARO 20Pcs,42.0
DELISKY,MANDALA 4PCS SAV NOISETTE,41.0
DELISKY,COMPOTE POMME ABRICOT,38.0
DELISKY,CHAMIA KHAIMA 330G AMANDE CHOCO PISTACHE,36.0
DELISKY,CHOCOTY SACHET,32.0
DELISKY,FRESHGUM CHEWING-GUM,29.0
DELISKY,CHOCOMORE CARAMEL 24P,24.0
DELISKY,CHAMIA KHAIMA 3KG CHOCO AMANDE PISTACHE,20.0
DELISKY,FLIPI 04PCS * 24P,20.0
DELISKY,BONBON JELLIFIA 150 PCS,17.0
DELISKY,CHOCOMORE VANILLE 24P,16.0
DELISKY,CHAMIA KHAIMA 4KG CHOCO PISTACHE AMANDE,15.0
DELISKY,FLAURA CHEWINGUM,15.0
DELISKY,CHAMIA KHAIMA SNIOUA,14.0
DELISKY,IDOL COCO GALETTE ,14.0
DELISKY,IDOL PETIT BEURRE 5,13.0
DELISKY,CHOCOLAT BAR MONTIMIX,7.0
DELISKY,CHOCOMORE ORANGE 24P,7.0
DELISKY,BONBON TOFFINI 120 Pcs,5.0
DELISKY,FLIPI FROZA BISC,5.0
DELISKY,CHOCOMORE CHOCOLAT 24P,4.0
DELISKY,CHOCOMORE CHOCOLAT 36P,3.0
DELISKY,CHAMIA BOSPHORE 1KG SPECIALE,2.0
DELISKY,CHAMIA KHAIMA 1900G PISTACHE AMANDE CHOCO,2.0
DELISKY,CHAMIA KHAIMA 500G AMANDE PISTACHE CHOCO,2.0
DELISKY,DELISTARE 06PCS 24P,2.0
DELISKY,BONBON MONTIKO AU CACAHUETE CARAMEL 150 PCS,1.0
DELISKY,CHAMIA KHAIMA 4KG VANILLE,1.0
DELISKY,CHAMIA KHAIMA 900G AMANDE PISTACHE,1.0
DELISKY,GAUFRETTE FAVORITA,1.0
DELISKY,IDOL SUPER KING VANILLA 300G,1.0
DELISKY,JELLY NOVA 150PCS  توت ,1.0
DELISKY,MANDALA CHOCO 10 PCS,1.0
DELISKY,MINI CARAMBAR MONTIKO,1.0
NITA,CAPRICE CARAMEL 500G  CACAO 502,138.0
NITA,NITA MINI BROWNIE CHOCOLAT ,136.0
NITA,NITA SO OVALO,89.0
NITA,CAPRICE LIQUIDE CHOCO BOITE 500G 322,83.0
NITA,CAPRICE LIQUIDE TOFFEE BOITE 500GR 321,80.0
NITA,CAPRICE LIQUIDE CHOCO BOITE 300G 352,78.0
NITA,NITA THE BALL,77.0
NITA,BUBBLE GUM CAPRICE P 205B,69.0
